"No","Id","Subid","Word","Root","Lemma","Verb","Transcript","Affixes","Pos","Gloss","Tvariety","Tagset","Status"
"1","01","00001","ንግር","ን⁞ግ⁞ር","","እናገራለሁ","Inageralehu","[እ+ለሁ]","VINA•01T1SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"2","01","00002","ንግር","ን⁞ግ⁞ር","","እናገራለሁ","Inageralehu","[እ+ለሁ]","VINA•01T1SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"3","01","00003","ንግር","ን⁞ግ⁞ር","","እንናገራለን","Innageralen","[እን+ለን]","VINA•01T1PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"4","01","00004","ንግር","ን⁞ግ⁞ር","","እንናገራለን","Innageralen","[እን+ለን]","VINA•01T1PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"5","01","00005","ንግር","ን⁞ግ⁞ር","","ትናገራለች","tnageralec","[ት+ለች]","VINA•01T2SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"6","01","00006","ንግር","ን⁞ግ⁞ር","","ትናገራለህ","tnageraleh","[ት+ለህ]","VINA•01T2SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"7","01","00007","ንግር","ን⁞ግ⁞ር","","ትናገራችሁ","tnagerachu","[ት+ችሁ]","VINA•01T2PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"8","01","00008","ንግር","ን⁞ግ⁞ር","","ትናገራችሁ","tnagerachu","[ት+ችሁ]","VINA•01T2PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"9","01","00009","ንግር","ን⁞ግ⁞ር","","ትናገራለች","tnageralec","[ት+ለች]","VINA•01T3SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"10","01","00010","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"11","01","00011","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"12","01","00012","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"13","02","00001","ስንብት","ስ⁞ን⁞ብ⁞ት","","እሰነብታለሁ","Isenebtalehu","[እ+ለሁ]","VINA•01T1SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"14","02","00002","ስንብት","ስ⁞ን⁞ብ⁞ት","","እሰነብታለሁ","Isenebtalehu","[እ+ለሁ]","VINA•01T1SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"15","02","00003","ስንብት","ስ⁞ን⁞ብ⁞ት","","እንሰነብታለን","Insenebtalen","[እን+ለን]","VINA•01T1PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"16","02","00004","ስንብት","ስ⁞ን⁞ብ⁞ት","","እንሰነብታለን","Insenebtalen","[እን+ለን]","VINA•01T1PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"17","02","00005","ስንብት","ስ⁞ን⁞ብ⁞ት","","ትሰነብታለች","tsenebtalec","[ት+ለች]","VINA•01T2SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"18","02","00006","ስንብት","ስ⁞ን⁞ብ⁞ት","","ትሰነብታለህ","tsenebtaleh","[ት+ለህ]","VINA•01T2SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"19","02","00007","ስንብት","ስ⁞ን⁞ብ⁞ት","","ትሰነብታችሁ","tsenebtachu","[ት+ችሁ]","VINA•01T2PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"20","02","00008","ስንብት","ስ⁞ን⁞ብ⁞ት","","ትሰነብታችሁ","tsenebtachu","[ት+ችሁ]","VINA•01T2PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"21","02","00009","ስንብት","ስ⁞ን⁞ብ⁞ት","","ትሰነብታለች","tsenebtalec","[ት+ለች]","VINA•01T3SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"22","02","00010","ስንብት","ስ⁞ን⁞ብ⁞ት","","ይሰነብታሉ","ysenebtalu","[ይ+ሉ]","VINA•01T3SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"23","02","00011","ስንብት","ስ⁞ን⁞ብ⁞ት","","ይሰነብታሉ","ysenebtalu","[ይ+ሉ]","VINA•01T3PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"24","02","00012","ስንብት","ስ⁞ን⁞ብ⁞ት","","ይሰነብታሉ","ysenebtalu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"25","03","00001","ምስክር","ም⁞ስ⁞ክ⁞ር","","እመሰክራለሁ","Imesekralehu","[እ+ለሁ]","VINA•01T1SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"26","03","00002","ምስክር","ም⁞ስ⁞ክ⁞ር","","እመሰክራለሁ","Imesekralehu","[እ+ለሁ]","VINA•01T1SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"27","03","00003","ምስክር","ም⁞ስ⁞ክ⁞ር","","እንመሰክራለን","Inmesekralen","[እን+ለን]","VINA•01T1PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"28","03","00004","ምስክር","ም⁞ስ⁞ክ⁞ር","","እንመሰክራለን","Inmesekralen","[እን+ለን]","VINA•01T1PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"29","03","00005","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለች","tmesekralec","[ት+ለች]","VINA•01T2SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"30","03","00006","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለህ","tmesekraleh","[ት+ለህ]","VINA•01T2SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"31","03","00007","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራችሁ","tmesekrachu","[ት+ችሁ]","VINA•01T2PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"32","03","00008","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራችሁ","tmesekrachu","[ት+ችሁ]","VINA•01T2PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"33","03","00009","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለች","tmesekralec","[ት+ለች]","VINA•01T3SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"34","03","00010","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"35","03","00011","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"36","03","00012","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""

